network,timestamp,text
CNN,10:35:20,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
FOX,10:35:40,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,10:36:00,"COMEY: ""CONFUSED"" BY TRUMP'S
PUBLIC EXPLANATIONS OF FIRING"
FOX,10:36:10,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,10:36:20,"COMEY: TRUMP ""DEFAMED ME"" AND THE FBI WITH ""LIES"""
MSNBC,10:36:40,"COMEY: ""NO DOUBT"" RUSSIA BEHIND ELECTION HACKS"
MSNBC,10:37:00,"COMEY: ""CONFIDENT"" NO VOTES ALTERED BY RUSSIA HACK"
CNN,10:37:10,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,10:37:20,COMEY: TRUMP ADMINISTRATION CHOSE TO DEFAME ME
MSNBC,10:37:30,"COMEY: NOT ""FOR ME TO SAY"" IF TRUMP'S
FLYNN REQUEST WAS OBSTRUCT ION"
FOX,10:39:00,COMEY: CONCERNED PRES MIGHT ME ABOUT MEETING
FOX,10:39:30,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
FOX,10:40:40,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
FOX,10:41:40,COMEY: TRUMP ADMINISTRATION CHOSE TO DEFAME ME
CNN,10:42:00,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
FOX,10:43:10,COMEY: CONCERNED PRES MIGHT LIE ABOUT MEETING
FOX,10:44:20,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,10:45:40,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
FOX,10:46:30,"COMEY: DINNER WITH PRESIDENT
WAS AN EFFORT TO GET MY LOYALTY"
FOX,10:46:50,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
CNN,10:47:00,COMEY: I KNEW I NEEDED TO DOCUMENT TRUMP MEETING
FOX,10:47:30,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
FOX,10:48:00,COMEY: CONCERNED PRES MIGHT LIE ABOUT MEETING
MSNBC,10:48:30,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
FOX,10:48:40,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,10:49:00,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
I MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
CNN,10:49:10,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,10:49:20,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
MSNBC,10:49:30,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
MSNBC,10:50:00,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
MSNBC,10:50:50,"COMEY: ""NO DOUBT"" RUSSIA BEHIND ELECTION HACKS"
FOX,10:51:10,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,10:51:10,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
FOX,10:51:40,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,10:52:10,"COMEY: TRUMP'S FLYNN REQUEST ""DISTURBING"""
FOX,10:52:30,COMEY: PRES DID NOT ORDER ME TO LET FLYNN PROBE GO
MSNBC,10:52:40,"COMEY: TRUMP'S FLYNN REQUEST ""DISTURBING"""
FOX,10:53:20,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,10:53:30,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,10:53:30,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
MSNBC,10:54:10,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
MSNBC,10:55:40,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,10:56:00,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,10:56:10,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
MSNBC,10:56:30,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
FOX,10:57:00,COMEY: PRES DID NOT ORDER ME TO LET FLYNN PROBE GO
MSNBC,10:57:00,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,10:57:10,"COMEY: ""I WAS STUNNED"" BY CONVERSATION WITH PRESIDENT"
FOX,10:57:40,COMEY: CONCERNED PRES MIGHT LIE ABOUT MEETING
MSNBC,10:57:40,"COMEY: ""I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
CNN,10:57:50,"COMEY: ""l WAS STUNNED"" BY CONVERSATION WITH PRESIDENT

Fired FBI chief says he hopes there are tapes of meeting"
MSNBC,10:58:00,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
MSNBC,10:58:20,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
CNN,10:58:30,COMEY: I HOPE THERE ARE TAPES OF TRUMP MEETING
MSNBC,10:58:40,"COMEY: ""I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
MSNBC,10:59:10,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
FOX,10:59:30,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
MSNBC,10:59:50,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
MSNBC,11:00:10,"COMEY: ""I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
FOX,11:00:40,COMEY: I HOPE THERE ARE TAPES OF TRUMP MEETINGS
FOX,11:02:00,COMEY: PRES DID NOT ORDER ME TO LET FLYNN PROBE GO
FOX,11:02:30,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
FOX,11:03:10,COMEY: CONCERNED PRES MIGHT LIE ABOUT MEETING
MSNBC,11:03:20,"COMEY: ""CONFUSED"" BY TRUMP'S
PUBLIC EXPLANATIONS OF FIRING"
CNN,11:03:50,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,11:04:00,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
FOX,11:04:10,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
CNN,11:04:50,"COMEY: TRUMP ADMIN ""CHOSE TO DEFAME ME"" AND FBI

 

Says ""those were lies, plain & simple"""
MSNBC,11:05:00,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
FOX,11:05:10,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,11:05:30,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,11:05:50,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:05:50,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
FOX,11:06:10,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,11:06:10,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
MSNBC,11:07:00,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
CNN,11:07:10,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETING"
FOX,11:07:10,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,11:07:20,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
I MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
CNN,11:07:20,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
MSNBC,11:07:40,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
MSNBC,11:08:40,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,11:09:00,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETING"
MSNBC,11:09:10,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
FOX,11:09:20,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
CNN,11:10:00,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:10:30,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
CNN,11:10:40,"COMEY: TRUMP ADMIN ""CHOSE TO DEFAME ME"" AND FBI

 

Says ""those were lies, plain & simple"""
MSNBC,11:10:50,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
CNN,11:11:00,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
FOX,11:11:10,COMEY: I HOPE THERE ARE TAPES OF TRUMP MEETINGS
CNN,11:11:10,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
MSNBC,11:11:20,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
CNN,11:11:50,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETING"
MSNBC,11:12:00,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
I MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
FOX,11:12:10,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
MSNBC,11:12:40,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
CNN,11:12:40,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:13:20,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,11:13:20,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
MSNBC,11:13:50,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
MSNBC,11:14:20,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
CNN,11:14:20,"COMEY: l TOOK TRUMP'S WORDS AS DIRECTION

Sen Ron Wyden I (D) Oregon"
MSNBC,11:14:40,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
FOX,11:15:00,COMEY: I HOPE THERE ARE TAPES OF TRUMP MEETINGS
MSNBC,11:15:20,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
I MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
CNN,11:15:20,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:15:30,"COMEY: THE PRESIDENT ONLY EVER ASKED
ABOUT ONE FBI INVESTIGATION"
FOX,11:15:40,"COMEY: THE PRESIDENT WAS
NOT UNDER INVESTIGATION"
CNN,11:16:10,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
FOX,11:16:20,"COMEY: I TAKE PRESIDENT AT HIS WORD THAT
I WAS FIRED OVER RUSSIA INVESTIGATION"
FOX,11:16:40,"COMEY: PRIMARY CONCERN WAS TO
NOT INFECT INVESTIGATIVE TEAM"
FOX,11:16:50,"COMEY: IT WAS MY JUDGMENT THAT
SESSIONS WOULD RECUSE HIMSELF"
